127.0.0.1 - - [07/Dec/2021:12:46:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:46:19 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 2714
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:46:20 +0530] "GET /Ebook-App/All_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:46:53 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 2714
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:48:28 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 2714
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:48:28 +0530] "GET /Ebook-App/All_Component/style.css HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:48:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:48:34 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 2714
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:52:54 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 2737
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:53:50 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:53:50 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:53:51 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:53:51 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:53:51 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:53:52 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:53:53 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:55:08 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:55:09 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:55:09 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:55:10 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:55:10 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:55:15 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3109
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:55:17 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3109
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:55:17 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3109
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:56:09 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3114
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:57:11 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3118
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:57:12 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3118
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:57:52 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:58:33 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:58:33 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:58:51 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:58:51 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [07/Dec/2021:12:58:52 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:01:21 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3112
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:01:22 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3112
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:01:23 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3112
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:01:50 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3112
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:01:51 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3112
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:01:51 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3112
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:02:45 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3119
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:02:46 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3119
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:03:05 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3120
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:03:07 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3120
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:03:09 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3120
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:03:12 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3120
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:03:13 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3120
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:03:55 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3120
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:03:56 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3120
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:03:56 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3120
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:03:56 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3120
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:04:00 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:05:32 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 2577
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:06:38 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:06:38 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:06:38 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:06:39 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:06:39 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:06:39 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:06:39 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:06:39 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [07/Dec/2021:13:09:15 +0530] "GET /Ebook-App/index.jsp? HTTP/1.1" 200 2672
